assetPath,address,group,labels,clearLabels
Assets/Prefab/Room/LevelGraph/Level1.asset,room/level1,Room,room;level1,TRUE
Assets/Prefab/Room/RoomTemplate/InitRoom.prefab,room/init,Room,room;room_template,TRUE
Assets/Prefab/Room/RoomTemplate/NormalRoom.prefab,room/normal,Room,room;room_template,TRUE
Assets/Prefab/Room/RoomTemplate/FinalRoom.prefab,room/final,Room,room;room_template,TRUE
Assets/Prefab/Room/CorridorTemplate/LRCorridor.prefab,room/corridor_lr,Room,room;corridor,TRUE
Assets/Prefab/Room/CorridorTemplate/UDCorridor.prefab,room/corridor_ud,Room,room;corridor,TRUE
Assets/GameDataSO/DataBase/BuffDataBase.asset,BuffDataBase,Buff,buff;database,TRUE
Assets/Scripts/Gameplay/Buffs/Buff/SpeedBuff.lua.txt,buff/lua/speed,Buff,buff;lua,TRUE
Assets/Scripts/Gameplay/Buffs/Buff/MaxHpUpBuff.lua.txt,buff/lua/max_hp,Buff,buff;lua,TRUE
Assets/Scripts/Gameplay/Buffs/Buff/PoisonBuff.lua.txt,buff/lua/poison,Buff,buff;lua,TRUE
Assets/Scripts/Gameplay/Buffs/Buff/DamageUpBuff.lua.txt,buff/lua/damage_up,Buff,buff;lua,TRUE
Assets/Scripts/Gameplay/Buffs/Buff/HaHaBuff.lua.txt,buff/lua/haha,Buff,buff;lua,TRUE
Assets/GameDataSO/DataBase/ItemDatabase.asset,ItemDatabase,Item,item;database,TRUE
Assets/Prefab/Item/Heart.prefab,item/heart,Item,item;prefab,TRUE
Assets/Prefab/Item/HarmUp.prefab,item/harm_up,Item,item;prefab,TRUE
Assets/Prefab/Item/SpeedUp.prefab,item/speed_up,Item,item;prefab,TRUE
Assets/Prefab/Item/PowerUp.prefab,item/power_up,Item,item;prefab,TRUE
Assets/Prefab/Item/Purify.prefab,item/purify,Item,item;prefab,TRUE
Assets/GameDataSO/DataBase/EnemyDatabase.asset,EnemyDatabase,Enemy,enemy;database,TRUE
Assets/Prefab/Enemy/EnemyA.prefab,enemy/enemy_a,Enemy,enemy;prefab,TRUE
Assets/Prefab/Enemy/Bat.prefab,enemy/bat,Enemy,enemy;prefab,TRUE
Assets/Prefab/Enemy/Goblin.prefab,enemy/goblin,Enemy,enemy;prefab,TRUE
Assets/Prefab/Enemy/Ogre.prefab,enemy/ogre,Enemy,enemy;prefab,TRUE
Assets/Prefab/Enemy/Orc_Masked.prefab,enemy/orc_masked,Enemy,enemy;prefab,TRUE
Assets/Prefab/Enemy/Orc_Shaman.prefab,enemy/orc_shaman,Enemy,enemy;prefab,TRUE
Assets/Prefab/Enemy/Orc_Warrior.prefab,enemy/orc_warrior,Enemy,enemy;prefab,TRUE
Assets/Prefab/Enemy/Slime.prefab,enemy/slime,Enemy,enemy;prefab,TRUE
Assets/GameDataSO/DataBase/WeaponDatabase.asset,WeaponDatabase,Weapon,weapon;database,TRUE
Assets/Prefab/GunList/AK.prefab,weapon/ak,Weapon,weapon;prefab,TRUE
Assets/Prefab/GunList/AWP.prefab,weapon/awp,Weapon,weapon;prefab,TRUE
Assets/Prefab/GunList/Bow.prefab,weapon/bow,Weapon,weapon;prefab,TRUE
Assets/Prefab/GunList/Laser.prefab,weapon/laser,Weapon,weapon;prefab,TRUE
Assets/Prefab/GunList/MP5.prefab,weapon/mp5,Weapon,weapon;prefab,TRUE
Assets/Prefab/GunList/Pistol.prefab,weapon/pistol,Weapon,weapon;prefab,TRUE
Assets/Prefab/GunList/RocketGun.prefab,weapon/rocket_gun,Weapon,weapon;prefab,TRUE
Assets/Prefab/GunList/ShotGun.prefab,weapon/shotgun,Weapon,weapon;prefab,TRUE
Assets/Scripts/Gameplay/Lua/Hotfix/MainHotfix.lua.txt,hotfix/main,Hotfix,hotfix;lua,TRUE
